Action id,"
Municipality/Region name ",Province,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)"
ID-Brandon-001,Brandon,Manitoba,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Brandon-002,Brandon,Manitoba,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-Brandon-003,Brandon,Manitoba,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote “cool roofs” — coating of rooftops white to reduce building energy use — and other low-cost approaches,No,No,Planned
ID-Brandon-004,Brandon,Manitoba,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-Brandon-005,Brandon,Manitoba,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-Brandon-006,Brandon,Manitoba,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-Brandon-007,Brandon,Manitoba,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned
ID-Brandon-008,Brandon,Manitoba,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned
ID-Brandon-009,Brandon,Manitoba,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Brandon-010,Brandon,Manitoba,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Brandon-011,Brandon,Manitoba,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Planned
ID-Brandon-012,Brandon,Manitoba,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned
ID-Brandon-013,Brandon,Manitoba,,,,No,No,Planned
ID-Brandon-014,Brandon,Manitoba,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned
ID-Brandon-015,Brandon,Manitoba,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned
ID-Brandon-016,Brandon,Manitoba,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned
ID-Brandon-017,Brandon,Manitoba,,,,No,No,Planned
ID-Brandon-018,Brandon,Manitoba,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned
ID-Burlington-001,Burlington,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Burlington-002,Burlington,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Burlington-003,Burlington,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Burlington-004,Burlington,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway
ID-Burlington-005,Burlington,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway
ID-Burlington-006,Burlington,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway
ID-Burlington-007,Burlington,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway
ID-Burlington-008,Burlington,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Burlington-009,Burlington,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Caledon-001,Caledon,Ontario,,,,No,No,Underway
ID-Caledon-002,Caledon,Ontario,Public investment,,,No,No,Underway
ID-Caledon-003,Caledon,Ontario,,,,No,No,Underway
ID-Calgary-001,Calgary,Alberta,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Ongoing
ID-Calgary-002,Calgary,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Ongoing
ID-Calgary-003,Calgary,Alberta,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned
ID-Calgary-004,Calgary,Alberta,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned
ID-Calgary-005,Calgary,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-Calgary-006,Calgary,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-Calgary-007,Calgary,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),Yes,No,Planned
ID-Calgary-008,Calgary,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned
ID-Calgary-009,Calgary,Alberta,Mandates,Mandate Reporting,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Underway
ID-Calgary-010,Calgary,Alberta,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned
ID-Calgary-011,Calgary,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Calgary-012,Calgary,Alberta,Price signals,Increase Access to Financing,,No,No,Underway
ID-Calgary-013,Calgary,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Calgary-014,Calgary,Alberta,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Calgary-015,Calgary,Alberta,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Underway
ID-Calgary-016,Calgary,Alberta,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Underway
ID-Calgary-017,Calgary,Alberta,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Planned
ID-Calgary-018,Calgary,Alberta,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned
ID-Calgary-019,Calgary,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Calgary-020,Calgary,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Calgary-021,Calgary,Alberta,Price signals,,,No,No,Underway
ID-Calgary-022,Calgary,Alberta,Price signals,Increase Access to Financing,,No,No,Planned
ID-Calgary-023,Calgary,Alberta,Price signals,Increase Access to Financing,,No,No,Planned
ID-Calgary-024,Calgary,Alberta,Price signals,Increase Access to Financing,,No,No,Planned
ID-Calgary-025,Calgary,Alberta,Price signals,Increase Access to Financing,,No,No,Planned
ID-Calgary-026,Calgary,Alberta,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Planned
ID-Cambridge-001,Cambridge,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing
ID-Cambridge-002,Cambridge,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Ongoing
ID-Cambridge-003,Cambridge,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing
ID-Cambridge-004,Cambridge,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Complete
ID-Cambridge-005,Cambridge,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Complete
ID-Cambridge-006,Cambridge,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Complete
ID-Candiac-001,Candiac,Québec,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Not indicated
ID-Candiac-002,Candiac,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not indicated
ID-Candiac-003,Candiac,Québec,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,,No,No,Not indicated
ID-Candiac-004,Candiac,Québec,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Not indicated
ID-Canmore-001,Canmore,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Ongoing
ID-Canmore-002,Canmore,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Planned
ID-Canmore-003,Canmore,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Planned
ID-Canmore-004,Canmore,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Canmore-005,Canmore,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-Canmore-006,Canmore,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Planned
ID-Canmore-007,Canmore,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Canmore-008,Canmore,Alberta,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Canmore-009,Canmore,Alberta,,,,No,No,Planned
ID-Canmore-010,Canmore,Alberta,,,,No,No,Planned
ID-Canmore-011,Canmore,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Conduct building energy performance challenges,No,No,Planned
ID-Canmore-012,Canmore,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Planned
ID-Canmore-013,Canmore,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-City of Brantford-001,City of Brantford,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Ongoing
ID-City of Brantford-002,City of Brantford,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Ongoing
ID-City of Brantford-003,City of Brantford,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing
ID-City of Brantford-004,City of Brantford,Ontario,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Ongoing
ID-City of Leduc-001,City of Leduc,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-City of Leduc-002,City of Leduc,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Ongoing
ID-City of Leduc-003,City of Leduc,Alberta,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,Yes,Ongoing
ID-City of Leduc-004,City of Leduc,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Complete
ID-City of Leduc-005,City of Leduc,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Underway
ID-City of Leduc-006,City of Leduc,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Underway
ID-City of Leduc-007,City of Leduc,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-City of Leduc-008,City of Leduc,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Underway
ID-City of Leduc-009,City of Leduc,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Underway
ID-City of Markham-001,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-002,City of Markham,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Underway
ID-City of Markham-003,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-004,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-005,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-006,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-007,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-008,City of Markham,Ontario,,,,Yes,Yes,Underway
ID-City of Markham-009,City of Markham,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",Yes,No,Underway
ID-City of Markham-010,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-011,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-012,City of Markham,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-City of Markham-013,City of Markham,Ontario,,,,Yes,No,Underway
ID-City of Prince George-001,City of Prince George,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-City of Prince George-002,City of Prince George,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Underway
ID-City of Prince George-003,City of Prince George,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Underway
ID-City of Prince George-004,City of Prince George,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-City of Prince George-005,City of Prince George,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-City of Prince George-006,City of Prince George,British Columbia,Price signals,,,No,No,Underway
ID-City of Prince George-007,City of Prince George,British Columbia,Price signals,Support/Provide Rewards for Performance,,No,No,Underway
ID-City of Prince George-008,City of Prince George,British Columbia,Price signals,Increase Access to Financing,,No,No,Underway
ID-City of Regina-001,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-002,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-003,City of Regina,Saskatchewan,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-City of Regina-004,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-005,City of Regina,Saskatchewan,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-City of Regina-006,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-007,City of Regina,Saskatchewan,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-City of Regina-008,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-009,City of Regina,Saskatchewan,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-City of Regina-010,City of Regina,Saskatchewan,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-City of Regina-011,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-012,City of Regina,Saskatchewan,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-City of Regina-013,City of Regina,Saskatchewan,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-City of Regina-014,City of Regina,Saskatchewan,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-City of Regina-015,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-016,City of Regina,Saskatchewan,,,,No,No,Underway
ID-City of Regina-017,City of Regina,Saskatchewan,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-City of Richmond-001,City of Richmond,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Ongoing
ID-City of Richmond-002,City of Richmond,British Columbia,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Ongoing
ID-City of Richmond-003,City of Richmond,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Ongoing
ID-City of Richmond-004,City of Richmond,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Ongoing
ID-City of Richmond-005,City of Richmond,British Columbia,Public investment,,,No,No,Ongoing
ID-City of Richmond-006,City of Richmond,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Ongoing
ID-City of Richmond-007,City of Richmond,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Ongoing
